#Datos simulados para el estimador de sardina-INPESCA
#Inicial yr
1991
#Final yr
2024
#numages
4
#Captura anual
 498300 516900 250200 359100 120626 360525 551345 236345 693834 584435 407724 283223 286924 371823 266345 380143 500234 800234 752234 693431
 0
 0
 0
 0
 0
 0
#Nobs_cpue
26
#yrs con datos de cpue
 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2019
 2020
 2021
 2022
 2023
 2024
#CPUE
 3.7 3.4 2.8 2.9 3 4 3.9 2.9 3.5 3.7 3.3 3 2 1.9 2.1 2.6 2.9 3.6 3.3 3.9
 6.07153
 9.40755
 9.9371
 5.86483
 6.25225
 9.9132
#Nobs_survey
17
#yrs con datos de cpue
 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2019
 2020
 2021
 2022
 2023
 2024
#Biomasa acustica reclas
 264231 567819 844713 478235 360214 399954 386214 250300 4.2957e+06 1.55562e+06 2.62356e+06
 1.626e+06
 1.64248e+06
 2.88298e+06
 1.76513e+06
 2.15392e+06
 2.623e+06
#Nobs_survey_pelaces
12
#yrs con datos de cpue
 2005 2006 2007 2008 2009 2010
 2019
 2020
 2021
 2022
 2023
 2024
#Biomasa acustica pelaces
 275854 201452 575125 253125 1.05268e+06 2.32512e+06
 2.00793e+06
 2.92691e+06
 3.92554e+06
 2.4505e+06
 2.83808e+06
 4.1653e+06
#Num tallas
33
#Nobs comp tallas
26
#yrs con lenfreq
 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2019
 2020
 2021
 2022
 2023
 2024
#Obs prop talla en la captura:
 0 0.000316548 0.00168369 0.00508307 0.0144962 0.0334131 0.062149 0.0837692 0.0807392 0.0626642 0.0501132 0.0465196 0.0588566 0.0685064 0.0860407 0.0764072 0.0740161 0.0440884 0.0290517 0.0224586 0.0157601 0.0130868 0.0140233 0.0142059 0.0112785 0.0106225 0.0109413 0.0058754 0.00275014 0.000921313 0.000155619 0 6.41637e-06
 0.000155765 0.00115537 0.00255481 0.0155717 0.0284395 0.0422295 0.0541368 0.082078 0.0875213 0.0974628 0.0994588 0.113414 0.100643 0.0802531 0.0508194 0.0357469 0.0258057 0.0141063 0.00764101 0.00633591 0.0110335 0.0132157 0.0114467 0.00850072 0.00378986 0.00318752 0.00213445 0.000801358 0.000354143 5.75565e-06 0 0 0
 0.000136795 0.00205217 0.0149459 0.0403506 0.0594722 0.0847615 0.10822 0.106005 0.0920639 0.0934297 0.095971 0.0904487 0.0722599 0.0437372 0.0285704 0.0195186 0.0152808 0.0101682 0.00723797 0.00313342 0.00103066 0.0013074 0.00107659 0.00328311 0.00289636 0.00225894 0.000383425 0 0 0 0 0 0
 0 0 0.000282978 0.000506129 0.003774 0.0112811 0.0257391 0.0398081 0.0477262 0.0354213 0.056806 0.0689158 0.141041 0.142017 0.10906 0.0767921 0.0641149 0.0527038 0.0401785 0.0205794 0.0250982 0.015436 0.011627 0.00617491 0.00374212 0.00105932 8.06895e-05 0 3.4331e-05 0 0 0 0
 0 0 0.000519832 0.000925582 0.00455503 0.020559 0.0793884 0.166859 0.188565 0.118724 0.0445444 0.0168536 0.0170601 0.0192115 0.0248116 0.0190559 0.0133415 0.00720121 0.00846716 0.0161813 0.026932 0.0409223 0.043476 0.0483817 0.0468991 0.0192781 0.006062 0.00109547 0.000129958 0 0 0 0
 0 0 0.00426028 0.00657504 0.0142432 0.0273643 0.0594678 0.0887242 0.0910497 0.0951058 0.119073 0.109438 0.0878204 0.0609654 0.0352161 0.0343985 0.0256331 0.014391 0.0183185 0.0151005 0.011764 0.0110138 0.00700308 0.0115394 0.0200812 0.0171474 0.0105175 0.00343968 0.000348833 0 0 0 0
 0 0 0.000377425 0.00117926 0.00405856 0.00643275 0.0143868 0.0226145 0.0426479 0.0692371 0.0837791 0.0918416 0.0992952 0.0652503 0.0329124 0.0267387 0.0242894 0.0199788 0.0371931 0.0533733 0.0797597 0.0955739 0.0454805 0.0215585 0.0154344 0.0170739 0.0182205 0.0090058 0.00205013 0.000213918 4.23853e-05 0 0
 0 0 0.0162091 0.026737 0.0888415 0.111589 0.0634298 0.0473543 0.0385163 0.0218381 0.0165431 0.0146532 0.0197542 0.01604 0.0188931 0.0223885 0.0208979 0.0176539 0.0298573 0.0400617 0.0523165 0.0656061 0.0762851 0.0791946 0.0492165 0.023226 0.0139041 0.00678322 0.0018127 0.000348995 4.81244e-05 0 0
 0 0 0.00048394 0.00208 0.00699466 0.0178603 0.0320519 0.0357389 0.0286401 0.0263322 0.0347115 0.0523793 0.0866375 0.102255 0.139607 0.137462 0.11504 0.0711236 0.0418907 0.016649 0.00856398 0.00502266 0.00528034 0.00825773 0.00989226 0.00764198 0.00481354 0.00172524 0.000643114 0.000190959 3.04923e-05 0 0
 0 0 0.000460532 0.000632083 0.01253 0.0241797 0.0269574 0.0487749 0.0825511 0.0993572 0.149916 0.154383 0.146898 0.0943329 0.0617617 0.0270553 0.017695 0.00669122 0.0052551 0.00368944 0.00424709 0.00581383 0.00900929 0.00694804 0.00573294 0.00176896 0.00146524 0.000715798 0.000726467 0.000277728 0.000173723 0 0
